marca,nombre_vehiculo,bateria,caballo_fuerza,velocidad_max,performance,precio,combustible,asientos,torque,bateria_unidad,bateria_valor,caballo_fuerza_unidad
ferrari,SF90 STRADALE,3990 cc,963,340,2.5,1100000.0,híbrido enchufable,2,800,cc,3990.0,
rolls royce,PHANTOM,6749 cc,563,250,5.3,460000.0,gasolina,5,900,cc,6749.0,
ford,KA+,"1,200 cc",70,165,10.5,12000.0,gasolina,5,100,cc,1200.0,
mercedes,GT 63 S,"3,982 cc",630,250,3.2,161000.0,gasolina,4,900,cc,3982.0,
audi,AUDI R8 Gt,"5,204 cc",602,320,3.6,253290.0,gasolina,2,560,cc,5204.0,
bmw,Mclaren 720s,"3,994 cc",710,341,2.9,499000.0,gasolina,2,770,cc,3994.0,
aston martin,VANTAGE F1,"3,982 cc",656,314,3.6,193440.0,gasolina,2,685,cc,3982.0,
bentley,Continental GT Azure,"3,996 cc",550,318,4.0,311000.0,gasolina,4,900,cc,3996.0,
lamborghini,VENENO ROADSTER,"6,498 cc",750,356,2.9,4500000.0,gasolina,2,690,cc,6498.0,
ferrari,F8 TRIBUTO,"3,900 cc",710,340,2.9,280000.0,gasolina,2,770,cc,3900.0,
ferrari,812 GTS,6496 cc,789,340,2.9,350000.0,gasolina,2,718,cc,6496.0,
ferrari,PORTOFINO,"3,900 cc",592,320,3.2,210000.0,gasolina,,760,cc,3900.0,
ferrari,ROMA,"3,900 cc",612,320,3.4,230000.0,gasolina,,760,cc,3900.0,
ferrari,MONZA SP2,"6,496 cc",789,340,2.9,1700000.0,gasolina,2,719,cc,6496.0,
ferrari,F8 SPIDER,"3,900 cc",710,340,2.9,280000.0,gasolina,2,770,cc,3900.0,
ferrari,PORTOFINO M,"3,900 cc",612,320,3.2,220000.0,gasolina,,760,cc,3900.0,
ferrari,ROMA SPIDER,"3,900 cc",612,320,3.4,240000.0,gasolina,,760,cc,3900.0,
toyota,GR SUPRA,"2,998 cc",382,250,4.1,53900.0,gasolina,2,500,cc,2998.0,
toyota,TOYOTA 86,"1,998 cc",205,226,6.4,27000.0,gasolina,,205,cc,1998.0,
toyota,TOYOTA  GR86,"2,387 cc",228,226,5.6,30000.0,gasolina,4,250,cc,2387.0,
toyota,TOYOTA LAND CRUISER,"5,663 cc",381,220,6.7,85000.0,diesel,7,500,cc,5663.0,
toyota,TOYOTA SEQUOIA,"5,663 cc",381,200,6.9,50000.0,gasolina,7,651,cc,5663.0,
nissan,GT-R,"3,799 cc",600,315,2.9,113000.0,gasolina,4,637,cc,3799.0,
nissan,370Z,"3,696 cc",332,250,4.7,30000.0,gasolina,2,366,cc,3696.0,
nissan,Z PROTO,"2,998 cc",400,290,4.1,40000.0,gasolina,2,475,cc,2998.0,
